crash_id,unit_nbr,VEH_BODY_STYL_ID
14896848,1,MOTORCYCLE
14842773,2,MOTORCYCLE
14915359,2,MOTORCYCLE
14880774,2,MOTORCYCLE
14883240,2,MOTORCYCLE
14919216,2,MOTORCYCLE
14888611,1,MOTORCYCLE
14912824,3,MOTORCYCLE
14861654,1,MOTORCYCLE
14888678,2,MOTORCYCLE
14909430,2,MOTORCYCLE
14917647,4,MOTORCYCLE
14892317,2,MOTORCYCLE
14909455,2,MOTORCYCLE
14866688,1,MOTORCYCLE
14883225,1,MOTORCYCLE
14872506,1,MOTORCYCLE
14885353,1,MOTORCYCLE
14905780,2,MOTORCYCLE
14901419,1,MOTORCYCLE
14842665,2,MOTORCYCLE
14850788,2,MOTORCYCLE
14840537,2,MOTORCYCLE
14860782,2,MOTORCYCLE
14916274,1,MOTORCYCLE
14853368,1,MOTORCYCLE
14889921,1,MOTORCYCLE
14893022,1,MOTORCYCLE
14913732,1,MOTORCYCLE
14919494,1,MOTORCYCLE
14855642,1,MOTORCYCLE
14865251,2,MOTORCYCLE
14910330,2,MOTORCYCLE
14861050,2,MOTORCYCLE
14861627,2,MOTORCYCLE
14888365,2,MOTORCYCLE
14909681,2,MOTORCYCLE
14890013,2,MOTORCYCLE
14854198,1,MOTORCYCLE
14859363,2,MOTORCYCLE
14863670,2,MOTORCYCLE
14909385,2,MOTORCYCLE
14915445,1,MOTORCYCLE
14901157,2,MOTORCYCLE
14888683,1,MOTORCYCLE
14888888,1,MOTORCYCLE
14883430,2,MOTORCYCLE
14916528,2,MOTORCYCLE
14888810,1,MOTORCYCLE
14900471,1,MOTORCYCLE
14878076,2,MOTORCYCLE
14882525,1,MOTORCYCLE
14891260,2,MOTORCYCLE
14881302,1,MOTORCYCLE
14906268,1,MOTORCYCLE
14914416,1,MOTORCYCLE
14905933,1,MOTORCYCLE
14890008,2,MOTORCYCLE
14902076,2,MOTORCYCLE
14901415,1,MOTORCYCLE
14872645,1,MOTORCYCLE
14900449,1,MOTORCYCLE
14896268,1,MOTORCYCLE
14919717,2,MOTORCYCLE
14891232,1,MOTORCYCLE
14898984,1,MOTORCYCLE
14915600,2,MOTORCYCLE
14875432,2,MOTORCYCLE
14858705,1,MOTORCYCLE
14902598,1,MOTORCYCLE
14874290,2,MOTORCYCLE
14872843,1,MOTORCYCLE
14880283,2,MOTORCYCLE
14871580,1,MOTORCYCLE
14855428,2,MOTORCYCLE
14906557,1,MOTORCYCLE
14894536,2,MOTORCYCLE
14899029,1,MOTORCYCLE
14867443,3,MOTORCYCLE
14889254,1,MOTORCYCLE
14898984,2,MOTORCYCLE
14858229,2,MOTORCYCLE
14896495,1,MOTORCYCLE
14878676,1,MOTORCYCLE
14902687,1,MOTORCYCLE
14920080,1,MOTORCYCLE
14899284,1,MOTORCYCLE
14891984,1,MOTORCYCLE
14863142,2,MOTORCYCLE
14916528,1,MOTORCYCLE
14883435,1,MOTORCYCLE
14898989,1,MOTORCYCLE
14925109,2,MOTORCYCLE
14974600,2,MOTORCYCLE
14932694,2,MOTORCYCLE
14940254,2,MOTORCYCLE
14948151,2,MOTORCYCLE
14982941,1,MOTORCYCLE
14925263,1,MOTORCYCLE
14945933,1,MOTORCYCLE
14948767,2,MOTORCYCLE
14923320,2,MOTORCYCLE
14970438,2,MOTORCYCLE
14955067,1,MOTORCYCLE
14974457,1,MOTORCYCLE
14959434,2,MOTORCYCLE
14968441,1,MOTORCYCLE
14932523,2,MOTORCYCLE
14946617,1,MOTORCYCLE
14934714,2,MOTORCYCLE
14951842,4,MOTORCYCLE
14921834,2,MOTORCYCLE
14943639,3,MOTORCYCLE
14921877,2,MOTORCYCLE
14937631,2,MOTORCYCLE
14946940,2,MOTORCYCLE
14946265,2,MOTORCYCLE
14941185,2,MOTORCYCLE
14963473,1,MOTORCYCLE
14983232,2,MOTORCYCLE
14932523,4,MOTORCYCLE
14968837,1,MOTORCYCLE
14943971,2,MOTORCYCLE
14946879,2,MOTORCYCLE
14932787,2,MOTORCYCLE
14948815,3,MOTORCYCLE
14981159,2,MOTORCYCLE
14961327,2,MOTORCYCLE
14966198,1,MOTORCYCLE
15101327,2,MOTORCYCLE
14970172,2,MOTORCYCLE
14959049,1,MOTORCYCLE
14976402,1,MOTORCYCLE
14979903,2,MOTORCYCLE
14944481,1,MOTORCYCLE
14932523,3,MOTORCYCLE
14925546,2,MOTORCYCLE
14955370,1,MOTORCYCLE
14971515,1,MOTORCYCLE
14980731,4,MOTORCYCLE
14939305,2,MOTORCYCLE
14953942,1,MOTORCYCLE
14958707,1,MOTORCYCLE
14954189,2,MOTORCYCLE
14923953,1,MOTORCYCLE
14986551,2,MOTORCYCLE
14972605,2,MOTORCYCLE
14935162,2,MOTORCYCLE
14978678,1,MOTORCYCLE
14947649,2,MOTORCYCLE
14929575,2,MOTORCYCLE
14938064,1,MOTORCYCLE
14941912,3,MOTORCYCLE
14954085,3,MOTORCYCLE
14966103,2,MOTORCYCLE
14921295,1,MOTORCYCLE
14936103,2,MOTORCYCLE
14944292,2,MOTORCYCLE
14968192,2,MOTORCYCLE
14987085,1,MOTORCYCLE
14966236,1,MOTORCYCLE
14923729,2,MOTORCYCLE
14930818,2,MOTORCYCLE
14937066,2,MOTORCYCLE
14977546,1,MOTORCYCLE
14946803,1,MOTORCYCLE
14936734,2,MOTORCYCLE
14981969,4,MOTORCYCLE
14977407,2,MOTORCYCLE
14980533,1,MOTORCYCLE
14937166,2,MOTORCYCLE
14982935,2,MOTORCYCLE
14925505,3,MOTORCYCLE
15127267,2,MOTORCYCLE
14927427,2,MOTORCYCLE
14928885,2,MOTORCYCLE
14970407,2,MOTORCYCLE
14981251,1,MOTORCYCLE
14926725,1,MOTORCYCLE
14969512,2,MOTORCYCLE
14930521,1,MOTORCYCLE
14948238,1,MOTORCYCLE
14978295,2,MOTORCYCLE
15000073,2,MOTORCYCLE
14980293,2,MOTORCYCLE
14950216,1,MOTORCYCLE
14939121,1,MOTORCYCLE
14934317,1,MOTORCYCLE
14944151,1,MOTORCYCLE
14969902,2,MOTORCYCLE
14985204,3,MOTORCYCLE
14976492,1,MOTORCYCLE
14967195,1,MOTORCYCLE
14939538,4,MOTORCYCLE
14931654,1,MOTORCYCLE
15002393,1,MOTORCYCLE
15070399,1,MOTORCYCLE
15017875,1,MOTORCYCLE
15000191,1,MOTORCYCLE
15080148,1,MOTORCYCLE
15010908,1,MOTORCYCLE
15043102,1,MOTORCYCLE
14998613,1,MOTORCYCLE
15024559,2,MOTORCYCLE
14991859,3,MOTORCYCLE
15035829,2,MOTORCYCLE
15050067,1,MOTORCYCLE
15045342,1,MOTORCYCLE
15006935,2,MOTORCYCLE
15040449,2,MOTORCYCLE
15088560,2,MOTORCYCLE
15088403,2,MOTORCYCLE
15023070,1,MOTORCYCLE
15051763,2,MOTORCYCLE
14993482,2,MOTORCYCLE
15015780,1,MOTORCYCLE
15077180,2,MOTORCYCLE
15070323,1,MOTORCYCLE
15042053,2,MOTORCYCLE
15012693,1,MOTORCYCLE
15026408,1,MOTORCYCLE
15034589,2,MOTORCYCLE
15022406,3,MOTORCYCLE
15002773,1,MOTORCYCLE
15081679,1,MOTORCYCLE
15002977,2,MOTORCYCLE
15046786,2,MOTORCYCLE
15005308,1,MOTORCYCLE
15094995,2,MOTORCYCLE
15000104,1,MOTORCYCLE
15035341,2,MOTORCYCLE
15044241,1,MOTORCYCLE
14990040,2,MOTORCYCLE
15044779,1,MOTORCYCLE
14993316,1,MOTORCYCLE
15008214,1,MOTORCYCLE
15044036,2,MOTORCYCLE
15005473,2,MOTORCYCLE
15033863,1,MOTORCYCLE
15000322,2,MOTORCYCLE
15110581,1,MOTORCYCLE
15095030,2,MOTORCYCLE
15023040,1,MOTORCYCLE
14990274,1,MOTORCYCLE
15013972,2,MOTORCYCLE
15042729,2,MOTORCYCLE
14998053,4,MOTORCYCLE
15015820,2,MOTORCYCLE
14998176,2,MOTORCYCLE
15030269,1,MOTORCYCLE
15002799,1,MOTORCYCLE
15013628,2,MOTORCYCLE
15052485,1,MOTORCYCLE
15024640,1,MOTORCYCLE
15038126,2,MOTORCYCLE
15025146,2,MOTORCYCLE
15050068,2,MOTORCYCLE
15034103,1,MOTORCYCLE
15004311,1,MOTORCYCLE
14999040,2,MOTORCYCLE
15010880,2,MOTORCYCLE
15041118,2,MOTORCYCLE
15071287,2,MOTORCYCLE
14998194,1,MOTORCYCLE
15048668,2,MOTORCYCLE
15010908,2,MOTORCYCLE
15013502,2,MOTORCYCLE
15040954,2,MOTORCYCLE
15013044,1,MOTORCYCLE
15017363,2,MOTORCYCLE
15037132,1,MOTORCYCLE
15013376,2,MOTORCYCLE
15047870,2,MOTORCYCLE
15010045,2,MOTORCYCLE
15028293,1,MOTORCYCLE
15043779,2,MOTORCYCLE
14996110,1,MOTORCYCLE
15069529,1,MOTORCYCLE
15018649,2,MOTORCYCLE
15028018,2,MOTORCYCLE
14988821,1,MOTORCYCLE
15008051,2,MOTORCYCLE
14992005,1,MOTORCYCLE
15069514,1,MOTORCYCLE
15052787,1,MOTORCYCLE
15087444,2,MOTORCYCLE
15021507,2,MOTORCYCLE
15072109,1,MOTORCYCLE
15006319,1,MOTORCYCLE
15018769,2,MOTORCYCLE
14994620,2,MOTORCYCLE
15009353,1,MOTORCYCLE
15010403,2,MOTORCYCLE
15050662,2,MOTORCYCLE
15044196,2,MOTORCYCLE
15000451,2,MOTORCYCLE
14991031,1,MOTORCYCLE
15029878,2,MOTORCYCLE
15016955,2,MOTORCYCLE
15078068,1,MOTORCYCLE
15084379,1,MOTORCYCLE
15022698,1,MOTORCYCLE
15018508,2,MOTORCYCLE
15053089,2,MOTORCYCLE
15090669,2,MOTORCYCLE
14998985,2,MOTORCYCLE
15019010,1,MOTORCYCLE
15014959,1,MOTORCYCLE
15087826,2,MOTORCYCLE
15015644,1,MOTORCYCLE
15028553,1,MOTORCYCLE
15050038,2,MOTORCYCLE
15068525,1,MOTORCYCLE
15120442,1,MOTORCYCLE
15115881,5,MOTORCYCLE
15072230,2,MOTORCYCLE
15093082,1,MOTORCYCLE
15140546,2,MOTORCYCLE
15055564,2,MOTORCYCLE
15078523,2,MOTORCYCLE
15137720,1,MOTORCYCLE
15127240,1,MOTORCYCLE
15071401,2,MOTORCYCLE
15085115,2,MOTORCYCLE
15088442,1,MOTORCYCLE
15134780,2,MOTORCYCLE
15088645,3,MOTORCYCLE
15110798,1,MOTORCYCLE
15139972,2,MOTORCYCLE
15142067,1,MOTORCYCLE
15111691,2,MOTORCYCLE
15089419,2,MOTORCYCLE
15080612,1,MOTORCYCLE
15139141,2,MOTORCYCLE
15083076,2,MOTORCYCLE
15133006,2,POLICE MOTORCYCLE
15104720,2,MOTORCYCLE
15115258,1,MOTORCYCLE
15522975,2,MOTORCYCLE
15117524,2,MOTORCYCLE
15102819,1,MOTORCYCLE
15139062,2,MOTORCYCLE
15088389,2,MOTORCYCLE
15117524,3,MOTORCYCLE
15111209,3,MOTORCYCLE
15068750,1,MOTORCYCLE
15067527,1,MOTORCYCLE
