crash_id,unit_nbr,VEH_HNR_FL,prsn_nbr,PRSN_TYPE_ID,DRVR_LIC_TYPE_ID
14864942,1,Y,1,DRIVER,DRIVER LICENSE
14876936,1,Y,1,DRIVER,DRIVER LICENSE
14891185,1,Y,1,DRIVER,DRIVER LICENSE
14911476,1,Y,1,DRIVER,DRIVER LICENSE
14915669,1,Y,1,DRIVER,DRIVER LICENSE
14890080,1,Y,1,DRIVER,DRIVER LICENSE
14863325,3,Y,1,DRIVER,DRIVER LICENSE
14910397,1,Y,1,DRIVER,DRIVER LICENSE
14893466,1,Y,1,DRIVER,DRIVER LICENSE
14902634,1,Y,1,DRIVER,DRIVER LICENSE
14915917,1,Y,1,DRIVER,DRIVER LICENSE
14859785,1,Y,1,DRIVER,DRIVER LICENSE
14867716,1,Y,1,DRIVER,DRIVER LICENSE
14873477,1,Y,1,DRIVER,DRIVER LICENSE
14882957,2,Y,1,DRIVER,DRIVER LICENSE
14900821,1,Y,1,DRIVER,DRIVER LICENSE
14916846,1,Y,1,DRIVER,DRIVER LICENSE
14904944,1,Y,1,DRIVER,DRIVER LICENSE
14917356,1,Y,1,DRIVER,DRIVER LICENSE
14906172,1,Y,1,DRIVER,DRIVER LICENSE
14912288,1,Y,1,DRIVER,DRIVER LICENSE
14882957,3,Y,1,DRIVER,DRIVER LICENSE
14889491,1,Y,1,DRIVER,DRIVER LICENSE
14892761,1,Y,1,DRIVER,DRIVER LICENSE
14893429,1,Y,1,DRIVER,DRIVER LICENSE
14866317,1,Y,1,DRIVER,DRIVER LICENSE
14907636,1,Y,1,DRIVER,DRIVER LICENSE
14849664,1,Y,1,DRIVER,DRIVER LICENSE
14913873,1,Y,1,DRIVER,DRIVER LICENSE
14852072,1,Y,1,DRIVER,DRIVER LICENSE
14908851,1,Y,1,DRIVER,DRIVER LICENSE
14893846,1,Y,1,DRIVER,DRIVER LICENSE
14904837,1,Y,1,DRIVER,DRIVER LICENSE
14883323,1,Y,1,DRIVER,DRIVER LICENSE
14896030,2,Y,1,DRIVER,DRIVER LICENSE
14916770,1,Y,1,DRIVER,DRIVER LICENSE
14885720,1,Y,1,DRIVER,DRIVER LICENSE
14903598,2,Y,1,DRIVER,DRIVER LICENSE
14904717,1,Y,1,DRIVER,DRIVER LICENSE
14902713,1,Y,1,DRIVER,DRIVER LICENSE
14847744,1,Y,1,DRIVER,DRIVER LICENSE
14865369,2,Y,1,DRIVER,DRIVER LICENSE
14871426,1,Y,1,DRIVER,DRIVER LICENSE
14918595,1,Y,1,DRIVER,DRIVER LICENSE
14888683,1,Y,1,DRIVER OF MOTORCYCLE TYPE VEHICLE,DRIVER LICENSE
14901991,1,Y,1,DRIVER,DRIVER LICENSE
14910940,1,Y,1,DRIVER,DRIVER LICENSE
14902207,2,Y,1,DRIVER,DRIVER LICENSE
14920271,1,Y,1,DRIVER,DRIVER LICENSE
14842987,2,Y,1,DRIVER,DRIVER LICENSE
14866886,1,Y,1,DRIVER,DRIVER LICENSE
14872708,1,Y,1,DRIVER,DRIVER LICENSE
14869771,1,Y,1,DRIVER,DRIVER LICENSE
14869929,1,Y,1,DRIVER,DRIVER LICENSE
14907191,1,Y,1,DRIVER,DRIVER LICENSE
14908952,1,Y,1,DRIVER,DRIVER LICENSE
14863489,1,Y,1,DRIVER,DRIVER LICENSE
14893846,2,Y,1,DRIVER,COMMERCIAL DRIVER LIC.
14879198,1,Y,1,DRIVER,DRIVER LICENSE
14879499,1,Y,1,DRIVER,DRIVER LICENSE
14881444,1,Y,1,DRIVER,DRIVER LICENSE
14846979,1,Y,1,DRIVER,DRIVER LICENSE
14863226,1,Y,1,DRIVER,DRIVER LICENSE
14911985,1,Y,1,DRIVER,DRIVER LICENSE
14909266,1,Y,1,DRIVER,DRIVER LICENSE
14916725,1,Y,1,DRIVER,DRIVER LICENSE
14872659,1,Y,1,DRIVER,DRIVER LICENSE
14874501,1,Y,1,DRIVER,DRIVER LICENSE
14867772,1,Y,1,DRIVER,DRIVER LICENSE
14901469,1,Y,1,DRIVER,DRIVER LICENSE
14846753,1,Y,1,DRIVER,DRIVER LICENSE
14866769,1,Y,1,DRIVER,DRIVER LICENSE
14868253,1,Y,1,DRIVER,DRIVER LICENSE
14872470,1,Y,1,DRIVER,DRIVER LICENSE
14902149,1,Y,1,DRIVER,DRIVER LICENSE
14865444,1,Y,1,DRIVER,DRIVER LICENSE
14882497,1,Y,1,DRIVER,COMMERCIAL DRIVER LIC.
14904142,1,Y,1,DRIVER,DRIVER LICENSE
14914343,1,Y,1,DRIVER,DRIVER LICENSE
14895983,1,Y,1,DRIVER,COMMERCIAL DRIVER LIC.
14911711,1,Y,1,DRIVER,DRIVER LICENSE
14913519,1,Y,1,DRIVER,DRIVER LICENSE
14842185,1,Y,1,DRIVER,DRIVER LICENSE
14861897,1,Y,1,DRIVER,DRIVER LICENSE
14860490,1,Y,1,DRIVER,DRIVER LICENSE
14865622,1,Y,1,DRIVER,DRIVER LICENSE
14915707,1,Y,1,DRIVER,DRIVER LICENSE
14852093,2,Y,1,DRIVER,DRIVER LICENSE
14857516,1,Y,1,DRIVER,DRIVER LICENSE
14875379,2,Y,1,DRIVER,DRIVER LICENSE
14899531,2,Y,1,DRIVER,DRIVER LICENSE
14867981,1,Y,1,DRIVER,DRIVER LICENSE
14871580,1,Y,1,DRIVER OF MOTORCYCLE TYPE VEHICLE,DRIVER LICENSE
14878106,1,Y,1,DRIVER,DRIVER LICENSE
14904924,1,Y,1,DRIVER,DRIVER LICENSE
14848364,1,Y,1,DRIVER,DRIVER LICENSE
14864168,1,Y,1,DRIVER,DRIVER LICENSE
14865646,1,Y,1,DRIVER,DRIVER LICENSE
14877134,1,Y,1,DRIVER,DRIVER LICENSE
14859594,1,Y,1,DRIVER,DRIVER LICENSE
14878211,1,Y,1,DRIVER,DRIVER LICENSE
14888384,1,Y,1,DRIVER,DRIVER LICENSE
14909141,1,Y,1,DRIVER,DRIVER LICENSE
14842278,1,Y,1,DRIVER,DRIVER LICENSE
14881987,1,Y,1,DRIVER,DRIVER LICENSE
14894786,1,Y,1,DRIVER,DRIVER LICENSE
14870207,1,Y,1,DRIVER,DRIVER LICENSE
14847926,1,Y,1,DRIVER,DRIVER LICENSE
14907034,1,Y,1,DRIVER,DRIVER LICENSE
14916326,1,Y,1,DRIVER,DRIVER LICENSE
14904719,1,Y,1,DRIVER,DRIVER LICENSE
14845673,1,Y,1,DRIVER,DRIVER LICENSE
14889226,1,Y,1,DRIVER,DRIVER LICENSE
14877692,1,Y,1,DRIVER,DRIVER LICENSE
14918258,1,Y,1,DRIVER,DRIVER LICENSE
14844539,1,Y,1,DRIVER,DRIVER LICENSE
14847339,1,Y,1,DRIVER,DRIVER LICENSE
14863133,1,Y,1,DRIVER,DRIVER LICENSE
14865548,1,Y,1,DRIVER,DRIVER LICENSE
14845770,1,Y,1,DRIVER,DRIVER LICENSE
14876746,1,Y,1,DRIVER,DRIVER LICENSE
14920491,1,Y,1,DRIVER,DRIVER LICENSE
14848692,1,Y,1,DRIVER,DRIVER LICENSE
14861361,1,Y,1,DRIVER,DRIVER LICENSE
14878995,1,Y,1,DRIVER,DRIVER LICENSE
14913701,1,Y,1,DRIVER,DRIVER LICENSE
14844344,1,Y,1,DRIVER,DRIVER LICENSE
14866571,1,Y,1,DRIVER,DRIVER LICENSE
14897737,1,Y,1,DRIVER,DRIVER LICENSE
14918246,1,Y,1,DRIVER,DRIVER LICENSE
14838841,1,Y,1,DRIVER,DRIVER LICENSE
14860043,1,Y,1,DRIVER,DRIVER LICENSE
14884269,1,Y,1,DRIVER,DRIVER LICENSE
14910984,1,Y,1,DRIVER,DRIVER LICENSE
14918207,1,Y,1,DRIVER,DRIVER LICENSE
14849279,1,Y,1,DRIVER,DRIVER LICENSE
14893385,1,Y,1,DRIVER,DRIVER LICENSE
14905974,1,Y,1,DRIVER,DRIVER LICENSE
14869291,1,Y,1,DRIVER,DRIVER LICENSE
14882150,1,Y,1,DRIVER,DRIVER LICENSE
14854045,1,Y,1,DRIVER,DRIVER LICENSE
14897509,1,Y,1,DRIVER,DRIVER LICENSE
14898603,3,Y,1,DRIVER,DRIVER LICENSE
14858415,1,Y,1,DRIVER,DRIVER LICENSE
14911937,1,Y,1,DRIVER,DRIVER LICENSE
14900130,1,Y,1,DRIVER,DRIVER LICENSE
14902046,1,Y,1,DRIVER,DRIVER LICENSE
14863325,2,Y,1,DRIVER,DRIVER LICENSE
14871309,1,Y,1,DRIVER,DRIVER LICENSE
14863493,1,Y,1,DRIVER,DRIVER LICENSE
14901065,1,Y,1,DRIVER,DRIVER LICENSE
14885187,1,Y,1,DRIVER,DRIVER LICENSE
14919090,1,Y,1,DRIVER,DRIVER LICENSE
14894452,1,Y,1,DRIVER,DRIVER LICENSE
14897923,1,Y,1,DRIVER,DRIVER LICENSE
14899222,1,Y,1,DRIVER,DRIVER LICENSE
14895934,1,Y,1,DRIVER,DRIVER LICENSE
14855370,1,Y,1,DRIVER,DRIVER LICENSE
14865369,3,Y,1,DRIVER,DRIVER LICENSE
14905090,1,Y,1,DRIVER,DRIVER LICENSE
14910913,2,Y,1,DRIVER,DRIVER LICENSE
14862925,1,Y,1,DRIVER,DRIVER LICENSE
14885731,1,Y,1,DRIVER,DRIVER LICENSE
14911670,1,Y,1,DRIVER,DRIVER LICENSE
14896948,1,Y,1,DRIVER,DRIVER LICENSE
14868065,1,Y,1,DRIVER,DRIVER LICENSE
14846096,1,Y,1,DRIVER,DRIVER LICENSE
14904490,1,Y,1,DRIVER,DRIVER LICENSE
14913537,1,Y,1,DRIVER,DRIVER LICENSE
14852093,1,Y,1,DRIVER,DRIVER LICENSE
14859556,1,Y,1,DRIVER,DRIVER LICENSE
14910793,1,Y,1,DRIVER,DRIVER LICENSE
14868568,1,Y,1,DRIVER,DRIVER LICENSE
14897214,1,Y,1,DRIVER,DRIVER LICENSE
14905736,1,Y,1,DRIVER,DRIVER LICENSE
14851735,1,Y,1,DRIVER,DRIVER LICENSE
14897052,2,Y,1,DRIVER,DRIVER LICENSE
14898703,1,Y,1,DRIVER,DRIVER LICENSE
14919939,1,Y,1,DRIVER,DRIVER LICENSE
14864721,1,Y,1,DRIVER,DRIVER LICENSE
14872344,3,Y,1,DRIVER,DRIVER LICENSE
14886241,1,Y,1,DRIVER,DRIVER LICENSE
14888390,1,Y,1,DRIVER,DRIVER LICENSE
14897226,1,Y,1,DRIVER,DRIVER LICENSE
14859108,1,Y,1,DRIVER,DRIVER LICENSE
14872770,1,Y,1,DRIVER,DRIVER LICENSE
14879793,1,Y,1,DRIVER,DRIVER LICENSE
14892775,1,Y,1,DRIVER,DRIVER LICENSE
14873291,1,Y,1,DRIVER,DRIVER LICENSE
14917866,1,Y,1,DRIVER,DRIVER LICENSE
14876741,1,Y,1,DRIVER,DRIVER LICENSE
14894987,1,Y,1,DRIVER,COMMERCIAL DRIVER LIC.
14915685,1,Y,1,DRIVER,DRIVER LICENSE
14917956,1,Y,1,DRIVER,DRIVER LICENSE
14854987,4,Y,1,DRIVER,DRIVER LICENSE
14896009,1,Y,1,DRIVER,DRIVER LICENSE
14917110,1,Y,1,DRIVER,DRIVER LICENSE
14875197,1,Y,1,DRIVER,DRIVER LICENSE
14883419,1,Y,1,DRIVER,DRIVER LICENSE
14842987,1,Y,1,DRIVER,DRIVER LICENSE
14895209,1,Y,1,DRIVER,DRIVER LICENSE
14872708,2,Y,1,DRIVER,DRIVER LICENSE
14883518,1,Y,1,DRIVER,DRIVER LICENSE
14896509,1,Y,1,DRIVER,DRIVER LICENSE
14917325,1,Y,1,DRIVER,DRIVER LICENSE
14863454,1,Y,1,DRIVER,DRIVER LICENSE
14871422,1,Y,1,DRIVER,DRIVER LICENSE
14902457,1,Y,1,DRIVER,DRIVER LICENSE
14887441,2,Y,1,DRIVER,DRIVER LICENSE
14858406,1,Y,1,DRIVER,DRIVER LICENSE
14899999,1,Y,1,DRIVER,DRIVER LICENSE
14888933,1,Y,1,DRIVER,DRIVER LICENSE
14883219,1,Y,1,DRIVER,DRIVER LICENSE
14905247,1,Y,1,DRIVER,DRIVER LICENSE
14900862,1,Y,1,DRIVER,COMMERCIAL DRIVER LIC.
14863111,1,Y,1,DRIVER,DRIVER LICENSE
14854987,3,Y,1,DRIVER,DRIVER LICENSE
14891185,2,Y,1,DRIVER,DRIVER LICENSE
14919580,1,Y,1,DRIVER,DRIVER LICENSE
14872761,1,Y,1,DRIVER,DRIVER LICENSE
14897490,1,Y,1,DRIVER,DRIVER LICENSE
14897839,1,Y,1,DRIVER,DRIVER LICENSE
14855513,1,Y,1,DRIVER,DRIVER LICENSE
14864502,1,Y,1,DRIVER,DRIVER LICENSE
14842987,3,Y,1,DRIVER,DRIVER LICENSE
14871451,1,Y,1,DRIVER,DRIVER LICENSE
14919908,1,Y,1,DRIVER,DRIVER LICENSE
14850269,1,Y,1,DRIVER,DRIVER LICENSE
14860983,1,Y,1,DRIVER,DRIVER LICENSE
14867784,1,Y,1,DRIVER,DRIVER LICENSE
14882497,3,Y,1,DRIVER,DRIVER LICENSE
14907781,2,Y,1,DRIVER,DRIVER LICENSE
14853424,1,Y,1,DRIVER,DRIVER LICENSE
14872412,1,Y,1,DRIVER,DRIVER LICENSE
14876157,1,Y,1,DRIVER,DRIVER LICENSE
14885662,1,Y,1,DRIVER,DRIVER LICENSE
14865808,1,Y,1,DRIVER,DRIVER LICENSE
14872344,1,Y,1,DRIVER,DRIVER LICENSE
14875396,1,Y,1,DRIVER,DRIVER LICENSE
14840612,1,Y,1,DRIVER,DRIVER LICENSE
14901814,1,Y,1,DRIVER,DRIVER LICENSE
14904860,1,Y,1,DRIVER,COMMERCIAL DRIVER LIC.
14867689,1,Y,1,DRIVER,DRIVER LICENSE
14886277,1,Y,1,DRIVER,DRIVER LICENSE
14896377,1,Y,1,DRIVER,DRIVER LICENSE
14859769,1,Y,1,DRIVER,DRIVER LICENSE
14902010,1,Y,1,DRIVER,DRIVER LICENSE
14869941,1,Y,1,DRIVER,DRIVER LICENSE
14908377,1,Y,1,DRIVER,DRIVER LICENSE
14871368,1,Y,1,DRIVER,DRIVER LICENSE
14896511,1,Y,1,DRIVER,DRIVER LICENSE
14908616,1,Y,1,DRIVER,DRIVER LICENSE
14895676,1,Y,1,DRIVER,DRIVER LICENSE
14919641,2,Y,1,DRIVER,DRIVER LICENSE
14845759,1,Y,1,DRIVER,DRIVER LICENSE
14913108,1,Y,1,DRIVER,DRIVER LICENSE
14916642,1,Y,1,DRIVER,DRIVER LICENSE
14855549,1,Y,1,DRIVER,DRIVER LICENSE
14869963,1,Y,1,DRIVER,DRIVER LICENSE
14889075,1,Y,1,DRIVER,DRIVER LICENSE
14897034,1,Y,1,DRIVER,DRIVER LICENSE
14901824,1,Y,1,DRIVER,DRIVER LICENSE
14860922,1,Y,1,DRIVER,DRIVER LICENSE
14897466,1,Y,1,DRIVER,DRIVER LICENSE
14900264,1,Y,1,DRIVER,DRIVER LICENSE
14897840,1,Y,1,DRIVER,DRIVER LICENSE
14901487,1,Y,1,DRIVER,OCCUPATIONAL
14843283,1,Y,1,DRIVER,DRIVER LICENSE
14909647,1,Y,1,DRIVER,DRIVER LICENSE
14917408,1,Y,1,DRIVER,DRIVER LICENSE
14851224,2,Y,1,DRIVER,DRIVER LICENSE
14856879,1,Y,1,DRIVER,DRIVER LICENSE
14865449,1,Y,1,DRIVER,DRIVER LICENSE
14871480,1,Y,1,DRIVER,DRIVER LICENSE
